Gene ID	Kinase ID
YLR006C	YIL147C
YDL127W	YPL031C
YER059W	YPL031C
YDL179W	YPL031C
YGL008C	YJR059W
YNL233W	YBR160W
YIL033C	YDL079C
YKL048C	YBR160W
YLR113W	YHR030C
YGL035C	YBL105C
YDL159W	YGR040W
YJL089W	YPL042C
YDR052C	YPL153C
YDR460W	YDL108W
YCL024W	YKL048C
YPL089C	YJL095W
YOR083W	YPL031C
YOR032C	YPL031C
YHR042W	YPL031C
YKL035W	YOL045W
YER109C	YPL203W
YML064C	YAR019C
YHR061C	YNL298W
YNL225C	YBR160W
YPR007C	YPL204W
YGR009C	YDR122W
YOL136C	YDR477W
YGL158W	YLR113W
YFR029W	YHR135C
YKL161C	YHR030C
YPR054W	YFL029C
YEL009C	YPL042C
YNL167C	YHR205W
YIL107C	YJL164C
YKL101W	YNL307C
YDR022C	YGL180W
YMR001C	YPL153C
YBR247C	YPL204W
YNL053W	YBL016W
YOR119C	YIL035C
YFR021W	YGL180W
YJL187C	YPL153C
YDL106C	YBR160W
YOR018W	YDR477W
YMR037C	YDR477W
YHR030C	YPL153C
YFR028C	YBR160W
YLR102C	YBR160W
YNR016C	YDR477W
YLR176C	YPL153C
YLR113W	YLR362W
YDL149W	YGL180W
YHR107C	YKL101W
YBL105C	YJL095W
YKL101W	YDR507C
YJR035W	YBR136W
YJL187C	YDR507C
YBL007C	YBR059C
YPL240C	YHR030C
YPL203W	YJL141C
YPR165W	YMR001C
YOR208W	YHR030C
YLR362W	YJL128C
YER022W	YLR113W
YHR161C	YIL095W
YGR108W	YBR160W
YMR280C	YDR477W
YMR055C	YOR233W
YLR096W	YBR160W
YCL024W	YDR507C
YPR141C	YBR160W
YBR160W	YGR092W
YMR104C	YDR490C
YJL128C	YCR073C
YCR073C	YJL128C
YLR006C	YCR073C
YDL225W	YPL153C
YKL190W	YHR030C
YMR076C	YMR001C
YPL256C	YFL029C
YDR507C	YNL298W
YHR030C	YBR160W
YAL024C	YNL298W
YLR248W	YJL128C
YKL101W	YKL048C
YPL042C	YDR477W
YNL025C	YDR477W
YKL038W	YJL165C
YBR160W	YKL101W
YML036W	YGR262C
YML112W	YKL139W
YBR010W	YPL153C
YHR030C	YHR030C
YBR274W	YBR136W
YML058W	YBR136W
YOR033C	YPL153C
YAL038W	YJL164C
YNL157W	YFL033C
YJR060W	YBR136W
YFR029W	YNL154C
YKL126W	YCR091W
YHR107C	YMR001C
YBR160W	YOR061W
YBR066C	YDR477W
YBL051C	YPL153C
YJL164C	YJL141C
YJR076C	YCL024W
YIL106W	YPR111W
YER155C	YIL095W
YLR437C	YBR136W
YBL047C	YIL095W
YOR133W	YLR248W
YDR385W	YLR248W
YGL035C	YKL048C
YMR036C	YHR135C
YMR036C	YNL154C
YKL159C	YNL307C
YJR021C	YBR160W
YDR388W	YBL016W
YLR045C	YMR001C
YML058W	YPL153C
YJL095W	YOR231W
YOR231W	YJL095W
YNL243W	YIL095W
YOR098C	YPL153C
YLR335W	YPL153C
YAR002W	YPL153C
YKL129C	YNL298W
YKL129C	YHL007C
YNL166C	YDR507C
YCR002C	YDR507C
YMR273C	YNL307C
YPL089C	YKL161C
YLR229C	YHL007C
YGR229C	YHR030C
YEL061C	YBR160W
YLR133W	YBL105C
YER027C	YOR061W
YDL028C	YBR160W
YHL020C	YIL035C
YHL020C	YOR061W
YGL008C	YHR135C
YGL008C	YNL154C
YOR057W	YOR061W
YNL189W	YOR061W
YNL189W	YIL035C
YPL232W	YJL164C
YCL032W	YHR135C
YDR172W	YKL166C
YDR172W	YPL203W
YDR172W	YJL164C
YML006C	YDR477W
YER040W	YJR066W
YBR195C	YJL141C
YNL236W	YDR477W
YMR037C	YPL203W
YOR014W	YBR160W
YGR252W	YHR079C
YDL006W	YJL128C
YGL022W	YBL105C
YPL256C	YBL105C
YNR031C	YLR113W
YGL179C	YDR477W
YIL147C	YDL235C
YER133W	YOR351C
YKR048C	YDR507C
YPL219W	YPL031C
YJR092W	YBR160W
YBR038W	YBR160W
YNR047W	YBR160W
YNL294C	YHR030C
YGL003C	YKL101W
YLR182W	YPL204W
YMR190C	YPL153C
YPR119W	YJL187C
YBR160W	YKL048C
YNL289W	YHR030C
YJR076C	YKL048C
YBL105C	YDR490C
YER177W	YKL168C
YIL144W	YDL028C
YMR243C	YLR248W
YOR066W	YBR160W
YDR263C	YDL101C
YGL144C	YNL307C
YGL144C	YMR139W
YNL025C	YHR030C
YJL092W	YBR160W
YKL101W	YNL298W
YOR195W	YBR160W
YLR045C	YBR160W
YMR307W	YHR030C
YMR273C	YHR030C
YLL021W	YOR231W
YIL033C	YJL141C
YER106W	YMR001C
YLR113W	YCR073C
YLR113W	YIL147C
YLL021W	YHR030C
YLR113W	YJL187C
YLR314C	YCL024W
YNL006W	YKL203C
YBR160W	YPL203W
YLR086W	YMR001C
YOR257W	YHR102W
YDL101C	YBR136W
YNL229C	YKL203C
YLR206W	YIL095W
YNL084C	YIL095W
YER133W	YJL095W
YKL139W	YDR477W
YDR477W	YKL139W
YDL006W	YHR030C
YER177W	YPL153C
YBR083W	YLR113W
YGL115W	YER129W
YDR507C	YCL024W
YDL022W	YLR113W
YDL006W	YJL095W
YKL161C	YJL095W
YMR149W	YBL105C
YEL002C	YBL105C
YOL051W	YPL042C
YIL031W	YMR001C
YHR102W	YNL161W
YPL166W	YGL180W
YJL034W	YHR079C
YDR135C	YIL035C
YDR135C	YJL165C
YGL019W	YIL035C
YMR036C	YNL307C
YLR131C	YHR102W
YOR039W	YIL035C
YDR439W	YDL017W
YDR439W	YMR001C
YGR009C	YLR096W
YHR014W	YMR001C
YGL180W	YGL180W
YER088C	YJL164C
YER171W	YDL108W
YPR111W	YBR160W
YIL105C	YDR490C
YIL105C	YOL100W
YGR040W	YLR113W
YLR305C	YJL095W
YDR309C	YBR160W
YNL298W	YBR160W
YPL031C	YDR477W
YCL029C	YJR066W
YBR021W	YNL154C
YBR021W	YHR135C
YEL062W	YNL154C
YEL062W	YHR135C
YKL038W	YDR477W
YJR076C	YBR160W
YDR113C	YBR136W
YDR207C	YNL307C
YJL026W	YDL101C
YNL172W	YMR001C
YLR127C	YMR001C
YDR118W	YMR001C
YLR102C	YMR001C
YLR399C	YOR061W
YLR399C	YIL035C
YDR099W	YPL204W
YLR314C	YNL298W
YMR001C	YDL017W
YGR113W	YPL209C
YJL093C	YLR113W
YGR184C	YHR135C
YFL031W	YHR079C
YGL197W	YNL307C
YMR153W	YJL165C
YMR153W	YNL154C
YML055W	YDL028C
YDR468C	YJL164C
YOL018C	YJL164C
YER111C	YPL153C
YLR113W	YGL158W
YPL180W	YJR066W
YBL105C	YBR160W
YGL116W	YKL101W
YLR176C	YDL101C
YLR176C	YBR136W
YHR030C	YKL203C
YJL115W	YDL101C
YHR030C	YKL126W
YKL126W	YHR030C
YDR103W	YDL159W
YNL088W	YBL105C
YJR076C	YDR507C
YJL013C	YGR188C
YDR076W	YPL153C
YDR217C	YMR001C
YHR030C	YNL307C
YGL003C	YJL106W
YDL003W	YPL153C
YIR006C	YBR059C
YNL102W	YPL153C
YNL178W	YPL204W
YDL220C	YPL153C
YJR076C	YMR001C
YOR171C	YPL031C
YHR030C	YDL079C
YHR030C	YOL128C
YDR477W	YPL031C
YHR135C	YER123W
YER123W	YHR135C
YLR032W	YDL101C
YDR168W	YDL028C
YDR168W	YBR160W
YAL028W	YBR160W
YFL033C	YKL166C
YFL033C	YPL203W
YKL166C	YJL141C
YJL141C	YKL166C
YMR295C	YHR030C
YML074C	YIL035C
YMR036C	YOR061W
YNL312W	YBR136W
YHR030C	YJR066W
YDL056W	YBR160W
YOR231W	YPL140C
YPL140C	YOR231W
YML016C	YMR216C
YJL164C	YNL307C
YPL031C	YBR160W
YGR189C	YHR030C
YMR238W	YHR030C
YER124C	YNL161W
YAR019C	YHL007C
YPR119W	YFL029C
YFL034C-B	YHR102W
YDL127W	YHR030C
YLR131C	YBR160W
YJR083C	YBR160W
YJL084C	YBR160W
YKL185W	YBR160W
YDL088C	YBR160W
YER167W	YBR160W
YPL115C	YBR160W
YPR171W	YBR160W
YCL014W	YBR160W
YLR319C	YBR160W
YNL278W	YBR160W
YPR030W	YBR160W
YIR023W	YBR160W
YDR052C	YBR160W
YHR164C	YBR160W
YBR102C	YBR160W
YER032W	YBR160W
YOR178C	YBR160W
YAL031C	YBR160W
YIL112W	YBR160W
YPL209C	YBR160W
YHR158C	YBR160W
YDR439W	YBR160W
YLR190W	YBR160W
YIL106W	YBR160W
YLR219W	YBR160W
YDR097C	YBR160W
YOL070C	YBR160W
YLR457C	YBR160W
YDR001C	YBR160W
YOR098C	YBR160W
YAR002W	YBR160W
YDL089W	YBR160W
YIL122W	YBR160W
YNL102W	YBR160W
YJR059W	YBR160W
YDR217C	YBR160W
YJR033C	YBR160W
YOR217W	YBR160W
YOR127W	YBR160W
YPR018W	YBR160W
YDR389W	YBR160W
YER129W	YBR160W
YDR227W	YBR160W
YHR149C	YBR160W
YLR086W	YBR160W
YLL021W	YBR160W
YML034W	YBR160W
YKR091W	YBR160W
YLR006C	YBR160W
YMR005W	YBR160W
YLR183C	YBR160W
YNL321W	YBR160W
YDR348C	YBR160W
YHR159W	YBR160W
YNL058C	YBR160W
YML027W	YBR160W
YPR174C	YBR160W
YAR014C	YJL187C
YJL076W	YGR092W
YCL061C	YBR136W
YDR507C	YKL101W
YPR070W	YPL042C
YDR443C	YPL042C
YMR039C	YJL128C
YDR480W	YBL016W
YJL095W	YPL140C
YPL140C	YJL095W
YLR006C	YJL128C
YOR208W	YJL128C
YHR205W	YFL033C
YKL190W	YJL095W
YHR107C	YCL024W
YER129W	YDR477W
YHR084W	YBL016W
YER093C	YKL203C
YHR135C	YNL154C
YNL154C	YHR135C
YDL126C	YBL105C
YBR133C	YDR507C
YBR109C	YFR014C
YGR282C	YBL105C
YGR040W	YJL128C
YDR443C	YLR113W
YPL089C	YBL105C
YLR248W	YNR031C
YDR356W	YBL105C
YMR055C	YNL298W
YDL160C	YMR216C
YER133W	YPL031C
YNL053W	YOR231W
YOR208W	YOR231W
YDL194W	YPL026C
YDR293C	YJR066W
YGR109C	YBR160W
YGR225W	YBR160W
YLR187W	YBR160W
YLL039C	YBR160W
YGR032W	YHR030C
YDL125C	YDL108W
YER111C	YBL105C
YIL050W	YBR160W
YOR315W	YBR160W
YGR140W	YNL307C
YBR160W	YAR019C
YPL256C	YPL031C
YLR006C	YLR113W
YMR001C	YKL101W
YIL035C	YOR061W
YOR061W	YIL035C
YDR293C	YBR160W
YJL030W	YDL028C
YJR057W	YPL153C
YNL298W	YKL048C
YLR113W	YHL007C
YJL106W	YBR160W
YAL024C	YMR001C
YMR224C	YBR136W
YML061C	YBR136W
YDL102W	YPL153C
YPR054W	YJL106W
YDR356W	YHR030C
YJR060W	YBL088C
YOR033C	YBR136W
YDR217C	YBL088C
YDL201W	YBR136W
YBR136W	YBL088C
YGL180W	YPL031C
YDR138W	YBR136W
YBR136W	YPL153C
YMR036C	YJL187C
YJL095W	YOR061W
YOR061W	YJL095W
YCR053W	YKL203C
YGR040W	YDL159W
YHR084W	YGR040W
YFL039C	YNR031C
YDR423C	YGL158W
YIL043C	YHL007C
YJL194W	YJL106W
YGL012W	YHL007C
YGL178W	YBR160W
YMR140W	YDR477W
YAL047C	YOR233W
YHL011C	YHR030C
YDL101C	YBL088C
YAR007C	YBL088C
YJR089W	YPL209C
YNL161W	YNL161W
YJL164C	YFL033C
YNL098C	YJL141C
YPR159W	YHR030C
YKR072C	YHR030C
YDR448W	YLR113W
YPL256C	YHL007C
YDR507C	YDR507C
YKL110C	YPL204W
YPR007C	YDL017W
YNL330C	YLR113W
YOL004W	YLR113W
YOL148C	YLR113W
YCR084C	YPL042C
YOR028C	YNL307C
YGL035C	YGL179C
YCR073W-A	YDR247W
YDR096W	YFL033C
YDR490C	YKL126W
YPR165W	YHR030C
YDL159W	YJL095W
YKL126W	YBL105C
YNL242W	YGL180W
YPL203W	YKL166C
YKL166C	YPL203W
YOR231W	YBL105C
YBL105C	YOR231W
YOL058W	YDR477W
YJL088W	YDR477W
YLR390W-A	YHR030C
YBR160W	YMR001C
YJL158C	YHR030C
YGR189C	YLR113W
YLR286C	YNL161W
YLR286C	YHR102W
YKL096W	YLR113W
YOL052C-A	YLR113W
YLR377C	YDR477W
YMR058W	YPL203W
YER145C	YPL203W
YHR061C	YJL095W
YER055C	YDR477W
YCL030C	YDR477W
YJL159W	YHR030C
YBR072W	YPL203W
YIR019C	YPL203W
YDR001C	YPL203W
YKL163W	YHR030C
YDR055W	YHR030C
YDR077W	YLR113W
YEL065W	YPL203W
YGL184C	YDR477W
YNL160W	YHR030C
YKL161C	YLR113W
YNL058C	YHR030C
YDL047W	YDR477W
YAL040C	YPL042C
YLR079W	YFL029C
YGR217W	YHR030C
YFL031W	YHR030C
YHL007C	YHR030C
YKR054C	YOR233W
YFL029C	YPR054W
YJR001W	YJL164C
YJR001W	YPL203W
YJR001W	YKL166C
YNL027W	YMR216C
YOR092W	YJL164C
YLL029W	YJL164C
YKL064W	YJL164C
YKL064W	YPL203W
YKL064W	YKL166C
YDR169C	YJL164C
YDR169C	YPL203W
YIL047C	YJL164C
YBR028C	YJL164C
YGL253W	YDR477W
YBR260C	YHR030C
YBR260C	YJL095W
