PPI	ORF1	ORF2	 Gene1	 Gene2	Log2(R) P1	Log2(R) P2	I-score
YAL026C_YAL026C	YAL026C	YAL026C	DRS2	DRS2	0.418701001	0.418701001	-0.021179323
YAL026C_YAL053W	YAL026C	YAL053W	DRS2	FLC2	0.418701001	0.322990613	-0.424861189
YAL026C_YDL019C	YAL026C	YDL019C	DRS2	OSH2	0.418701001	0.624326506	NA
YAL029C_YAL029C	YAL029C	YAL029C	MYO4	MYO4	0.37859675	0.37859675	0.074936371
YAL029C_YBR130C	YAL029C	YBR130C	MYO4	SHE3	0.37859675	0.24454528	0.364535784
YAL029C_YKL130C	YAL029C	YKL130C	MYO4	SHE2	0.37859675	0.158579121	-0.535311618
YAL041W_YBL085W	YAL041W	YBL085W	CDC24	BOI1	0.303734703	0.415634318	NA
YAL041W_YBR200W	YAL041W	YBR200W	CDC24	BEM1	0.303734703	0.57978222	0.091827188
YAL041W_YDR379W	YAL041W	YDR379W	CDC24	RGA2	0.303734703	0.379673701	NA
YAL047C_YIL002W-A	YAL047C	YIL002W-A	SPC72	YIL002W-A	0.145657345	NA	NA
YAL047C_YLR025W	YAL047C	YLR025W	SPC72	SNF7	0.145657345	NA	NA
YAL047C_YLR045C	YAL047C	YLR045C	SPC72	STU2	0.145657345	0.519964703	NA
YAL047C_YOR069W	YAL047C	YOR069W	SPC72	VPS5	0.145657345	0.556890436	NA
YAR002C-A_YGL054C	YAR002C-A	YGL054C	ERP1	ERV14	0.546729174	0.738405288	NA
YAR002C-A_YGR284C	YAR002C-A	YGR284C	ERP1	ERV29	0.546729174	1.198068487	0.046726101
YAR018C_YDR119W	YAR018C	YDR119W	KIN3	VBA4	NA	0.30595422	NA
YAR018C_YMR198W	YAR018C	YMR198W	KIN3	CIK1	NA	0.234049009	NA
YAR018C_YOR117W	YAR018C	YOR117W	KIN3	RPT5	NA	NA	NA
YAR042W_YER120W	YAR042W	YER120W	SWH1	SCS2	NA	0.377258599	NA
YBL004W_YGL122C	YBL004W	YGL122C	UTP20	NAB2	0.222455155	0.890973787	NA
YBL004W_YLL011W	YBL004W	YLL011W	UTP20	SOF1	0.222455155	0.531232864	NA
YBL007C_YCR030C	YBL007C	YCR030C	SLA1	SYP1	0.357215791	0.720449883	NA
YBL007C_YER118C	YBL007C	YER118C	SLA1	SHO1	0.357215791	0.363301133	NA
YBL007C_YFR024C-A	YBL007C	YFR024C-A	SLA1	LSB3	0.357215791	0.745341492	-1.250628487
YBL007C_YFR051C	YBL007C	YFR051C	SLA1	RET2	0.357215791	0.203833944	NA
YBL007C_YGL206C	YBL007C	YGL206C	SLA1	CHC1	0.357215791	0.376158685	-0.435408624
YBL007C_YHR016C	YBL007C	YHR016C	SLA1	YSC84	0.357215791	NA	NA
YBL007C_YIL095W	YBL007C	YIL095W	SLA1	PRK1	0.357215791	0.277931512	NA
YBL007C_YML109W	YBL007C	YML109W	SLA1	ZDS2	0.357215791	0.317551946	NA
YBL007C_YNL084C	YBL007C	YNL084C	SLA1	END3	0.357215791	0.603991295	-0.384708166
YBL007C_YNL106C	YBL007C	YNL106C	SLA1	INP52	0.357215791	0.418736054	NA
YBL007C_YOR047C	YBL007C	YOR047C	SLA1	STD1	0.357215791	NA	NA
YBL007C_YOR181W	YBL007C	YOR181W	SLA1	LAS17	0.357215791	0.135178981	-0.54042025
YBL017C_YBL017C	YBL017C	YBL017C	PEP1	PEP1	0.235719403	0.235719403	-0.278753573
YBL017C_YJL053W	YBL017C	YJL053W	PEP1	PEP8	0.235719403	0.845984331	0.592238739
YBL017C_YJL154C	YBL017C	YJL154C	PEP1	VPS35	0.235719403	0.63943227	-0.562752624
YBL017C_YMR010W	YBL017C	YMR010W	PEP1	YMR010W	0.235719403	0.322385849	-0.164051096
YBL026W_YCR093W	YBL026W	YCR093W	LSM2	CDC39	0.798354879	0.736186448	0.071297357
YBL026W_YDL160C	YBL026W	YDL160C	LSM2	DHH1	0.798354879	0.644020755	1.333097952
YBL026W_YDR378C	YBL026W	YDR378C	LSM2	LSM6	0.798354879	NA	2.180056912
YBL026W_YER112W	YBL026W	YER112W	LSM2	LSM4	0.798354879	0.836821179	0.743150929
YBL026W_YLR438C-A	YBL026W	YLR438C-A	LSM2	LSM3	0.798354879	0.919337952	1.134356656
YBL033C_YBL033C	YBL033C	YBL033C	RIB1	RIB1	0.834190083	0.834190083	-0.373010018
YBL033C_YNL287W	YBL033C	YNL287W	RIB1	SEC21	0.834190083	0.086281943	NA
YBL034C_YOL069W	YBL034C	YOL069W	STU1	NUF2	0.185321884	0.419343473	NA
YBL051C_YNL288W	YBL051C	YNL288W	PIN4	CAF40	0.079145437	0.787684296	-0.808638465
YBL068W_YKL181W	YBL068W	YKL181W	PRS4	PRS1	0.572942588	0.177263749	-0.5944275
YBL071W-A_YGR200C	YBL071W-A	YGR200C	KTI11	ELP2	0.744032072	0.110874527	-0.258728041
YBL075C_YPL042C	YBL075C	YPL042C	SSA3	SSN3	0.367136057	NA	NA
YBL085W_YBR200W	YBL085W	YBR200W	BOI1	BEM1	0.415634318	0.57978222	NA
YBL085W_YML109W	YBL085W	YML109W	BOI1	ZDS2	0.415634318	0.317551946	NA
YBL085W_YNL078W	YBL085W	YNL078W	BOI1	NIS1	0.415634318	0.168367482	NA
YBL093C_YOR140W	YBL093C	YOR140W	ROX3	SFL1	0.75067635	0.401896051	NA
YBR006W_YBR006W	YBR006W	YBR006W	UGA2	UGA2	0.589426851	0.589426851	-0.456146921
YBR009C_YBR195C	YBR009C	YBR195C	HHF1	MSI1	-0.021037675	0.108892663	NA
YBR009C_YDL058W	YBR009C	YDL058W	HHF1	USO1	-0.021037675	0.303834687	NA
YBR009C_YDR499W	YBR009C	YDR499W	HHF1	LCD1	-0.021037675	0.230062722	NA
YBR009C_YGL206C	YBR009C	YGL206C	HHF1	CHC1	-0.021037675	0.376158685	NA
YBR009C_YHR089C	YBR009C	YHR089C	HHF1	GAR1	-0.021037675	0.423832492	NA
YBR009C_YJL115W	YBR009C	YJL115W	HHF1	ASF1	-0.021037675	0.482834902	0.246349547
YBR009C_YKL038W	YBR009C	YKL038W	HHF1	RGT1	-0.021037675	0.279085008	NA
YBR009C_YKR048C	YBR009C	YKR048C	HHF1	NAP1	-0.021037675	0.92354636	0.044562076
YBR009C_YKR092C	YBR009C	YKR092C	HHF1	SRP40	-0.021037675	0.881946091	NA
YBR009C_YLL022C	YBR009C	YLL022C	HHF1	HIF1	-0.021037675	0.52604851	-0.404729501
YBR009C_YLR384C	YBR009C	YLR384C	HHF1	IKI3	-0.021037675	0.611843525	NA
YBR009C_YLR449W	YBR009C	YLR449W	HHF1	FPR4	-0.021037675	1.067185505	0.102882389
YBR009C_YML056C	YBR009C	YML056C	HHF1	IMD4	-0.021037675	0.231210912	NA
YBR009C_YNL031C	YBR009C	YNL031C	HHF1	HHT2	-0.021037675	0.354156414	1.081352068
YBR009C_YOR362C	YBR009C	YOR362C	HHF1	PRE10	-0.021037675	1.228401095	NA
YBR023C_YGL203C	YBR023C	YGL203C	CHS3	KEX1	0.216679419	0.114677156	-0.10136328
YBR025C_YBR055C	YBR025C	YBR055C	OLA1	PRP6	1.221622014	0.625867414	NA
YBR034C_YGL240W	YBR034C	YGL240W	HMT1	DOC1	0.409235503	0.449690967	NA
YBR034C_YNR052C	YBR034C	YNR052C	HMT1	POP2	0.409235503	0.230618553	NA
YBR036C_YDL212W	YBR036C	YDL212W	CSG2	SHR3	1.00590839	0.512043068	-0.147317213
YBR036C_YPL057C	YBR036C	YPL057C	CSG2	SUR1	1.00590839	0.464838867	NA
YBR041W_YHR072W	YBR041W	YHR072W	FAT1	ERG7	0.364221478	0.082995672	-0.173102795
YBR041W_YIL124W	YBR041W	YIL124W	FAT1	AYR1	0.364221478	NA	0.621866979
YBR041W_YKL094W	YBR041W	YKL094W	FAT1	YJU3	0.364221478	0.693217826	0.375331152
YBR041W_YKL140W	YBR041W	YKL140W	FAT1	TGL1	0.364221478	0.362984496	0.102173299
YBR055C_YDR378C	YBR055C	YDR378C	PRP6	LSM6	0.625867414	NA	NA
YBR057C_YBR057C	YBR057C	YBR057C	MUM2	MUM2	0.311170414	0.311170414	-1.255623738
YBR057C_YCL010C	YBR057C	YCL010C	MUM2	SGF29	0.311170414	0.279700629	NA
YBR057C_YDR200C	YBR057C	YDR200C	MUM2	VPS64	0.311170414	0.210919684	NA
YBR057C_YGL192W	YBR057C	YGL192W	MUM2	IME4	0.311170414	NA	NA
YBR057C_YGR130C	YBR057C	YGR130C	MUM2	YGR130C	0.311170414	0.770378342	NA
YBR057C_YPR199C	YBR057C	YPR199C	MUM2	ARR1	0.311170414	NA	NA
YBR080C_YER021W	YBR080C	YER021W	SEC18	RPN3	0.398196925	0.159677912	NA
YBR080C_YGL137W	YBR080C	YGL137W	SEC18	SEC27	0.398196925	0.467786153	-1.29840743
YBR080C_YHR027C	YBR080C	YHR027C	SEC18	RPN1	0.398196925	0.960583188	NA
YBR080C_YKL145W	YBR080C	YKL145W	SEC18	RPT1	0.398196925	0.774758569	NA
YBR080C_YOR261C	YBR080C	YOR261C	SEC18	RPN8	0.398196925	0.786388877	NA
YBR094W_YEL015W	YBR094W	YEL015W	PBY1	EDC3	0.527784447	0.659375969	NA
YBR102C_YBR102C	YBR102C	YBR102C	EXO84	EXO84	0.241788321	0.241788321	-0.879766907
YBR102C_YBR200W	YBR102C	YBR200W	EXO84	BEM1	0.241788321	0.57978222	NA
YBR102C_YDR166C	YBR102C	YDR166C	EXO84	SEC5	0.241788321	0.357686385	0.31573009
YBR102C_YER008C	YBR102C	YER008C	EXO84	SEC3	0.241788321	0.639452638	NA
YBR102C_YIL068C	YBR102C	YIL068C	EXO84	SEC6	0.241788321	0.4194432	NA
YBR102C_YLR166C	YBR102C	YLR166C	EXO84	SEC10	0.241788321	0.701314978	-0.235532236
YBR102C_YNL031C	YBR102C	YNL031C	EXO84	HHT2	0.241788321	0.354156414	NA
YBR102C_YPR032W	YBR102C	YPR032W	EXO84	SRO7	0.241788321	0.596332213	NA
YBR102C_YPR055W	YBR102C	YPR055W	EXO84	SEC8	0.241788321	0.582001184	-0.485646014
YBR111W-A_YDR224C	YBR111W-A	YDR224C	SUS1	HTB1	NA	0.078112813	NA
YBR111W-A_YKR003W	YBR111W-A	YKR003W	SUS1	OSH6	NA	0.603165897	NA
YBR112C_YBR112C	YBR112C	YBR112C	CYC8	CYC8	0.374638961	0.374638961	NA
YBR112C_YKL038W	YBR112C	YKL038W	CYC8	RGT1	0.374638961	0.279085008	NA
YBR130C_YAL029C	YBR130C	YAL029C	SHE3	MYO4	0.24454528	0.37859675	0.082702083
YBR130C_YIL138C	YBR130C	YIL138C	SHE3	TPM2	0.24454528	0.586293066	-0.461925175
YBR130C_YKL130C	YBR130C	YKL130C	SHE3	SHE2	0.24454528	0.158579121	-0.365996603
YBR133C_YKL101W	YBR133C	YKL101W	HSL7	HSL1	0.248665446	0.16712052	NA
YBR133C_YPL209C	YBR133C	YPL209C	HSL7	IPL1	0.248665446	0.391061221	NA
YBR153W_YBR153W	YBR153W	YBR153W	RIB7	RIB7	NA	NA	NA
YBR155W_YGR187C	YBR155W	YGR187C	CNS1	HGH1	0.76637441	0.648490447	-0.145390435
YBR169C_YDR171W	YBR169C	YDR171W	SSE2	HSP42	0.85089572	1.551857647	NA
YBR169C_YGL122C	YBR169C	YGL122C	SSE2	NAB2	0.85089572	0.890973787	NA
YBR172C_YER068W	YBR172C	YER068W	SMY2	MOT2	0.135278306	0.02102958	NA
YBR177C_YBR041W	YBR177C	YBR041W	EHT1	FAT1	0.321544898	0.364221478	0.382156783
YBR177C_YHR027C	YBR177C	YHR027C	EHT1	RPN1	0.321544898	0.960583188	NA
YBR194W_YMR012W	YBR194W	YMR012W	AIM4	CLU1	0.598392805	0.542100592	NA
YBR194W_YMR047C	YBR194W	YMR047C	AIM4	NUP116	0.598392805	0.280806386	NA
YBR194W_YOR136W	YBR194W	YOR136W	AIM4	IDH2	0.598392805	0.57609065	NA
YBR200W_YAL041W	YBR200W	YAL041W	BEM1	CDC24	0.57978222	0.303734703	-0.274457806
YBR200W_YBL085W	YBR200W	YBL085W	BEM1	BOI1	0.57978222	0.415634318	NA
YBR200W_YDR166C	YBR200W	YDR166C	BEM1	SEC5	0.57978222	0.357686385	NA
YBR200W_YGL212W	YBR200W	YGL212W	BEM1	VAM7	0.57978222	0.970468848	NA
YBR200W_YLR166C	YBR200W	YLR166C	BEM1	SEC10	0.57978222	0.701314978	NA
YBR200W_YNL298W	YBR200W	YNL298W	BEM1	CLA4	0.57978222	0.423245011	NA
YBR200W_YPL045W	YBR200W	YPL045W	BEM1	VPS16	0.57978222	0.242023564	NA
YBR207W_YNL238W	YBR207W	YNL238W	FTH1	KEX2	0.491203186	0.31318165	-0.916513309
YBR207W_YNL255C	YBR207W	YNL255C	FTH1	GIS2	0.491203186	0.743426143	NA
YBR210W_YDR515W	YBR210W	YDR515W	ERV15	SLF1	NA	0.970513411	NA
YBR210W_YGR284C	YBR210W	YGR284C	ERV15	ERV29	NA	1.198068487	NA
YBR214W_YFR040W	YBR214W	YFR040W	SDS24	SAP155	1.010822226	0.88089023	-0.152540117
YBR216C_YML007W	YBR216C	YML007W	YBP1	YAP1	0.381732866	0.593220249	0.203339675
YBR217W_YMR058W	YBR217W	YMR058W	ATG12	FET3	NA	0.719990647	NA
YBR222C_YBR222C	YBR222C	YBR222C	PCS60	PCS60	0.389425742	0.389425742	0.587444015
YBR237W_YMR125W	YBR237W	YMR125W	PRP5	STO1	0.425126313	0.719185364	NA
YBR244W_YPR156C	YBR244W	YPR156C	GPX2	TPO3	3.545268675	0.67406	1.493210878
YBR247C_YCR057C	YBR247C	YCR057C	ENP1	PWP2	0.670523866	0.512367267	NA
YBR247C_YGR081C	YBR247C	YGR081C	ENP1	SLX9	0.670523866	0.341949559	-0.580145873
YBR247C_YMR128W	YBR247C	YMR128W	ENP1	ECM16	0.670523866	0.548745226	NA
YBR247C_YPL012W	YBR247C	YPL012W	ENP1	RRP12	0.670523866	0.52140855	-0.736849444
YBR267W_YBR267W	YBR267W	YBR267W	REI1	REI1	0.971047342	0.971047342	-0.533884505
YBR267W_YGL099W	YBR267W	YGL099W	REI1	LSG1	0.971047342	0.542148834	0.595207478
YBR267W_YKR048C	YBR267W	YKR048C	REI1	NAP1	0.971047342	0.92354636	0.766939988
YBR271W_YNL255C	YBR271W	YNL255C	EFM2	GIS2	0.222898724	0.743426143	NA
YBR276C_YGL122C	YBR276C	YGL122C	PPS1	NAB2	NA	0.890973787	NA
YBR278W_YOL077C	YBR278W	YOL077C	DPB3	BRX1	0.734347388	0.641755909	NA
YBR288C_YBR288C	YBR288C	YBR288C	APM3	APM3	0.013530839	0.013530839	-0.328607881
YBR288C_YPL195W	YBR288C	YPL195W	APM3	APL5	0.013530839	0.266741939	-0.171373095
YCL010C_YHR008C	YCL010C	YHR008C	SGF29	SOD2	0.279700629	0.766658212	NA
YCL021W-A_YPL094C	YCL021W-A	YPL094C	YCL021W-A	SEC62	NA	0.293885433	NA
YCL029C_YCL029C	YCL029C	YCL029C	BIK1	BIK1	0.282444785	0.282444785	0.334610511
YCL029C_YER016W	YCL029C	YER016W	BIK1	BIM1	0.282444785	0.218274162	NA
YCL029C_YLR045C	YCL029C	YLR045C	BIK1	STU2	0.282444785	0.519964703	NA
YCL029C_YNL091W	YCL029C	YNL091W	BIK1	NST1	0.282444785	0.202358144	NA
YCL029C_YPL269W	YCL029C	YPL269W	BIK1	KAR9	0.282444785	0.254734836	NA
YCL029C_YPR199C	YCL029C	YPR199C	BIK1	ARR1	0.282444785	NA	NA
YCL063W_YFR021W	YCL063W	YFR021W	VAC17	ATG18	NA	0.724795245	NA
YCR005C_YCR005C	YCR005C	YCR005C	CIT2	CIT2	0.358461068	0.358461068	1.577743663
YCR009C_YMR192W	YCR009C	YMR192W	RVS161	GYL1	0.783237769	1.011364459	-0.160404993
YCR009C_YOR181W	YCR009C	YOR181W	RVS161	LAS17	0.783237769	0.135178981	NA
YCR014C_YDL147W	YCR014C	YDL147W	POL4	RPN5	NA	0.82556801	NA
YCR020W-B_YNL255C	YCR020W-B	YNL255C	HTL1	GIS2	0.654719871	0.743426143	NA
YCR028C-A_YDL222C	YCR028C-A	YDL222C	RIM1	FMP45	0.641699318	0.25099849	-0.946352719
YCR028C-A_YNR051C	YCR028C-A	YNR051C	RIM1	BRE5	0.641699318	0.223219414	NA
YCR030C_YCR030C	YCR030C	YCR030C	SYP1	SYP1	0.720449883	0.720449883	0.139321898
YCR030C_YDR032C	YCR030C	YDR032C	SYP1	PST2	0.720449883	1.580860278	-0.425582486
YCR030C_YFR024C-A	YCR030C	YFR024C-A	SYP1	LSB3	0.720449883	0.745341492	-1.117063816
YCR030C_YHR016C	YCR030C	YHR016C	SYP1	YSC84	0.720449883	NA	NA
YCR030C_YIL095W	YCR030C	YIL095W	SYP1	PRK1	0.720449883	0.277931512	NA
YCR030C_YJR076C	YCR030C	YJR076C	SYP1	CDC11	0.720449883	0.865223892	0.082502405
YCR030C_YLR332W	YCR030C	YLR332W	SYP1	MID2	0.720449883	0.685387846	0.623927329
YCR030C_YOR181W	YCR030C	YOR181W	SYP1	LAS17	0.720449883	0.135178981	-0.424184172
YCR033W_YMR273C	YCR033W	YMR273C	SNT1	ZDS1	0.192065106	0.197947947	NA
YCR059C_YGL195W	YCR059C	YGL195W	YIH1	GCN1	0.163458112	0.403734816	-0.050651856
YCR060W_YDR190C	YCR060W	YDR190C	TAH1	RVB1	0.751667802	0.573928737	0.641250567
YCR075C_YPL246C	YCR075C	YPL246C	ERS1	RBD2	NA	0.186792263	-1.393821892
YCR084C_YBR112C	YCR084C	YBR112C	TUP1	CYC8	NA	0.374638961	NA
YCR084C_YGR238C	YCR084C	YGR238C	TUP1	KEL2	NA	0.318142895	NA
YCR093W_YCR093W	YCR093W	YCR093W	CDC39	CDC39	0.736186448	0.736186448	-0.081907911
YCR093W_YER068W	YCR093W	YER068W	CDC39	MOT2	0.736186448	0.02102958	-0.177541501
YCR093W_YIL038C	YCR093W	YIL038C	CDC39	NOT3	0.736186448	0.494370096	0.429720723
YCR093W_YNL288W	YCR093W	YNL288W	CDC39	CAF40	0.736186448	0.787684296	0.619147973
YCR093W_YNR052C	YCR093W	YNR052C	CDC39	POP2	0.736186448	0.230618553	0.128878251
YCR093W_YPR072W	YCR093W	YPR072W	CDC39	NOT5	0.736186448	0.314186187	0.805533611
YDL002C_YDL002C	YDL002C	YDL002C	NHP10	NHP10	0.517273809	0.517273809	-0.011302702
YDL007W_YDL013W	YDL007W	YDL013W	RPT2	SLX5	NA	NA	NA
YDL007W_YHR027C	YDL007W	YHR027C	RPT2	RPN1	NA	0.960583188	NA
YDL019C_YMR109W	YDL019C	YMR109W	OSH2	MYO5	0.624326506	0.456482294	0.136331181
YDL030W_YHR152W	YDL030W	YHR152W	PRP9	SPO12	0.564096382	0.307221034	NA
YDL043C_YLR147C	YDL043C	YLR147C	PRP11	SMD3	0.575500413	NA	NA
YDL043C_YML046W	YDL043C	YML046W	PRP11	PRP39	0.575500413	0.227999703	NA
YDL047W_YFR040W	YDL047W	YFR040W	SIT4	SAP155	0.423762898	0.88089023	-0.314498764
YDL047W_YHR096C	YDL047W	YHR096C	SIT4	HXT5	0.423762898	NA	NA
YDL047W_YLR384C	YDL047W	YLR384C	SIT4	IKI3	0.423762898	0.611843525	-2.443660459
YDL052C_YBR041W	YDL052C	YBR041W	SLC1	FAT1	0.664217723	0.364221478	-0.265014306
YDL055C_YFR040W	YDL055C	YFR040W	PSA1	SAP155	0.182411793	0.88089023	NA
YDL055C_YHL011C	YDL055C	YHL011C	PSA1	PRS3	0.182411793	0.855896649	NA
YDL055C_YPR010C	YDL055C	YPR010C	PSA1	RPA135	0.182411793	0.111052273	NA
YDL056W_YHR206W	YDL056W	YHR206W	MBP1	SKN7	0.397644083	0.198594646	NA
YDL056W_YLR182W	YDL056W	YLR182W	MBP1	SWI6	0.397644083	0.207955401	NA
YDL056W_YNL154C	YDL056W	YNL154C	MBP1	YCK2	0.397644083	0.424434963	NA
YDL058W_YDL058W	YDL058W	YDL058W	USO1	USO1	0.303834687	0.303834687	-0.613352224
YDL076C_YPL082C	YDL076C	YPL082C	RXT3	MOT1	0.317572445	0.500934152	NA
YDL088C_YFR002W	YDL088C	YFR002W	ASM4	NIC96	0.104077695	NA	NA
YDL088C_YJL039C	YDL088C	YJL039C	ASM4	NUP192	0.104077695	NA	NA
YDL088C_YML031W	YDL088C	YML031W	ASM4	NDC1	0.104077695	0.362043718	0.73755022
YDL088C_YMR153W	YDL088C	YMR153W	ASM4	NUP53	0.104077695	0.476348423	1.629198187
YDL088C_YNL154C	YDL088C	YNL154C	ASM4	YCK2	0.104077695	0.424434963	NA
YDL097C_YDL147W	YDL097C	YDL147W	RPN6	RPN5	0.990487771	0.82556801	0.095998118
YDL097C_YDR427W	YDL097C	YDR427W	RPN6	RPN9	0.990487771	1.343182053	0.921696649
YDL097C_YOR261C	YDL097C	YOR261C	RPN6	RPN8	0.990487771	0.786388877	0.466474807
YDL111C_YJR022W	YDL111C	YJR022W	RRP42	LSM8	0.446436053	0.370410037	NA
YDL111C_YPR189W	YDL111C	YPR189W	RRP42	SKI3	0.446436053	0.348807433	NA
YDL113C_YJL036W	YDL113C	YJL036W	ATG20	SNX4	0.482350615	0.559172425	-0.10741777
YDL113C_YLR191W	YDL113C	YLR191W	ATG20	PEX13	0.482350615	0.625853733	NA
YDL115C_YPR187W	YDL115C	YPR187W	IWR1	RPO26	0.898148308	0.636544373	NA
YDL134C_YPR110C	YDL134C	YPR110C	PPH21	RPC40	0.592672475	0.393351293	NA
YDL135C_YPR156C	YDL135C	YPR156C	RDI1	TPO3	1.231561904	0.67406	-0.909375092
YDL147W_YDL097C	YDL147W	YDL097C	RPN5	RPN6	0.82556801	0.990487771	NA
YDL147W_YDR427W	YDL147W	YDR427W	RPN5	RPN9	0.82556801	1.343182053	0.369655985
YDL147W_YGR253C	YDL147W	YGR253C	RPN5	PUP2	0.82556801	0.86554997	NA
YDL147W_YKL145W	YDL147W	YKL145W	RPN5	RPT1	0.82556801	0.774758569	NA
YDL147W_YOR261C	YDL147W	YOR261C	RPN5	RPN8	0.82556801	0.786388877	0.572078203
YDL160C_YCR077C	YDL160C	YCR077C	DHH1	PAT1	0.644020755	0.278788585	-0.091739763
YDL160C_YCR093W	YDL160C	YCR093W	DHH1	CDC39	0.644020755	0.736186448	-0.143631431
YDL160C_YDR170C	YDL160C	YDR170C	DHH1	SEC7	0.644020755	-0.00420511	NA
YDL160C_YDR378C	YDL160C	YDR378C	DHH1	LSM6	0.644020755	NA	2.503190343
YDL160C_YEL015W	YDL160C	YEL015W	DHH1	EDC3	0.644020755	0.659375969	-0.340498038
YDL160C_YER068W	YDL160C	YER068W	DHH1	MOT2	0.644020755	0.02102958	-0.740623283
YDL160C_YER112W	YDL160C	YER112W	DHH1	LSM4	0.644020755	0.836821179	0.375372971
YDL160C_YGR178C	YDL160C	YGR178C	DHH1	PBP1	0.644020755	0.942294348	0.433136129
YDL160C_YLR350W	YDL160C	YLR350W	DHH1	ORM2	0.644020755	1.158643491	NA
YDL160C_YLR438C-A	YDL160C	YLR438C-A	DHH1	LSM3	0.644020755	0.919337952	0.517472266
YDL160C_YNL118C	YDL160C	YNL118C	DHH1	DCP2	0.644020755	0.434967157	-0.310054342
YDL160C_YNL147W	YDL160C	YNL147W	DHH1	LSM7	0.644020755	1.068272032	1.525371751
YDL160C_YNL197C	YDL160C	YNL197C	DHH1	WHI3	0.644020755	0.238653836	-0.347769001
YDL160C_YNR052C	YDL160C	YNR052C	DHH1	POP2	0.644020755	0.230618553	-0.246517925
YDL160C_YOL149W	YDL160C	YOL149W	DHH1	DCP1	0.644020755	0.331709163	-0.374063705
YDL160C_YOR204W	YDL160C	YOR204W	DHH1	DED1	0.644020755	NA	-0.392856534
YDL160C_YPR129W	YDL160C	YPR129W	DHH1	SCD6	0.644020755	0.666668399	0.129117261
YDL165W_YCR093W	YDL165W	YCR093W	CDC36	CDC39	0.435711908	0.736186448	NA
YDL165W_YDL165W	YDL165W	YDL165W	CDC36	CDC36	0.435711908	0.435711908	NA
YDL165W_YER068W	YDL165W	YER068W	CDC36	MOT2	0.435711908	0.02102958	0.338003173
YDL165W_YIL038C	YDL165W	YIL038C	CDC36	NOT3	0.435711908	0.494370096	0.849403018
YDL165W_YNL288W	YDL165W	YNL288W	CDC36	CAF40	0.435711908	0.787684296	0.567236981
YDL168W_YMR290C	YDL168W	YMR290C	SFA1	HAS1	1.748153207	NA	NA
YDL175C_YPL190C	YDL175C	YPL190C	AIR2	NAB3	0.264446577	0.105450566	NA
YDL182W_YDL131W	YDL182W	YDL131W	LYS20	LYS21	0.243789559	0.320383845	0.233083899
YDL182W_YDL182W	YDL182W	YDL182W	LYS20	LYS20	0.243789559	0.243789559	0.146649099
YDL192W_YDL137W	YDL192W	YDL137W	ARF1	ARF2	0.612861653	0.37205311	0.037931553
YDL192W_YDL192W	YDL192W	YDL192W	ARF1	ARF1	0.612861653	0.612861653	0.520950985
YDL192W_YFR051C	YDL192W	YFR051C	ARF1	RET2	0.612861653	0.203833944	-0.230277835
YDL192W_YGL008C	YDL192W	YGL008C	ARF1	PMA1	0.612861653	NA	NA
YDL192W_YGL137W	YDL192W	YGL137W	ARF1	SEC27	0.612861653	0.467786153	-0.258055426
YDL192W_YKL135C	YDL192W	YKL135C	ARF1	APL2	0.612861653	1.003519926	NA
YDL212W_YBR036C	YDL212W	YBR036C	SHR3	CSG2	0.512043068	1.00590839	0.021011886
YDL212W_YDL212W	YDL212W	YDL212W	SHR3	SHR3	0.512043068	0.512043068	0.034289846
YDL212W_YGR191W	YDL212W	YGR191W	SHR3	HIP1	0.512043068	0.530751526	0.134855104
YDL213C_YDL208W	YDL213C	YDL208W	NOP6	NHP2	0.367818129	0.389142035	1.02937392
YDL213C_YJL109C	YDL213C	YJL109C	NOP6	UTP10	0.367818129	0.473443234	NA
YDL222C_YBL029C-A	YDL222C	YBL029C-A	FMP45	YBL029C-A	0.25099849	0.832706003	-0.283864879
YDL224C_YNL197C	YDL224C	YNL197C	WHI4	WHI3	0.391718055	0.238653836	NA
YDL227C_YHR027C	YDL227C	YHR027C	HO	RPN1	0.138997416	0.960583188	NA
YDL235C_YLR006C	YDL235C	YLR006C	YPD1	SSK1	0.31119286	0.356609964	NA
YDL236W_YGL122C	YDL236W	YGL122C	PHO13	NAB2	0.585843014	0.890973787	NA
YDL236W_YLR420W	YDL236W	YLR420W	PHO13	URA4	0.585843014	0.416154625	0.664635008
YDR005C_YGR246C	YDR005C	YGR246C	MAF1	BRF1	0.34633257	0.551322944	NA
YDR005C_YHR205W	YDR005C	YHR205W	MAF1	SCH9	0.34633257	0.442025173	NA
YDR028C_YDR477W	YDR028C	YDR477W	REG1	SNF1	-0.200065222	0.668294688	NA
YDR028C_YER027C	YDR028C	YER027C	REG1	GAL83	-0.200065222	0.182241421	NA
YDR032C_YBR052C	YDR032C	YBR052C	PST2	RFS1	1.580860278	0.847715361	0.60066709
YDR032C_YCR030C	YDR032C	YCR030C	PST2	SYP1	1.580860278	0.720449883	-0.756814044
YDR032C_YDR032C	YDR032C	YDR032C	PST2	PST2	1.580860278	1.580860278	0.185708197
YDR047W_YDR047W	YDR047W	YDR047W	HEM12	HEM12	0.475899763	0.475899763	0.37225273
YDR060W_YDR087C	YDR060W	YDR087C	MAK21	RRP1	0.707606611	0.333267412	NA
YDR060W_YGL120C	YDR060W	YGL120C	MAK21	PRP43	0.707606611	0.685673412	NA
