TAG	NAME	GWEIGHT	1181-0519.x	1181-0519.y	FK506.x	FK506.y	CuSO4.x	CuSO4.y	doxorubicin.x	doxorubicin.y	atorvastatin.x	atorvastatin.y	AA-mixture.x	AA-mixture.y	methionine.x	methionine.y	menadione.x	menadione.y	H2O2.x	H2O2.y	ethanol.x	ethanol.y	heat-shock.x	heat-shock.y	N-starvation.x	sorbitol.x	NaCl.x	NaCl.y	sorbitol.y	N-starvation.y
TM_3957	TM_3957	1.000000	0.040187	0.145875	0.115275	0.199410	0.010447	0.025636	0.061791	0.215326	-0.072920	-0.073288	0.160365	0.064767	-0.103477	-0.069244	-0.020890	-0.052782	0.003992	-0.094827	0.380503	0.437802	-0.032702	-0.087828	0.046000	-0.034543	-0.007984	-0.043410	-0.113666	-0.205571
TM_3196	TM_3196	1.000000	-0.044970	0.093070	0.054357	0.103771	0.024639	-0.017544	0.309878	0.190349	-0.068105	-0.013346	-0.023838	-0.028393	-0.098259	-0.156758	0.074015	-0.014272	0.296673	0.147851	0.362719	0.386280	-0.358538	-0.139200	0.015131	-0.027929	0.129606	-0.056890	0.111258	-0.110476
TM_2880	TM_2880	1.000000	0.138564	0.214818	0.289695	0.373618	-0.046531	0.059259	0.509905	0.361106	-0.033713	0.116290	-0.220216	-0.295772	-0.437053	-0.415600	-0.224944	-0.107423	0.291742	0.578353	0.440688	0.605143	0.006652	-0.320020	0.033709	-0.008551	-0.007492	-0.170997	-0.128420	-0.048239
TM_3464	TM_3464	1.000000	0.236737	0.170749	0.049456	-0.024137	-0.134417	0.000765	0.109792	0.021050	-0.111022	-0.169758	-0.103684	-0.428117	-0.768938	-0.675300	-0.204174	-0.447302	0.016481	0.109511	0.170691	0.307002	-0.308908	0.162134	-0.103664	0.214149	0.190783	0.195234	0.088879	-0.300675
TM_3866	TM_3866	1.000000	-0.076105	-0.165333	-0.072386	-0.155613	0.029822	0.040144	0.131314	0.092230	0.176055	0.228475	-0.209278	-0.252272	-0.685261	-0.669664	0.123054	-0.047668	-0.026989	0.066738	0.364377	0.326509	-0.424916	0.041678	-0.175247	0.341417	0.361698	0.208704	-0.114976	-0.351332
TM_1677	TM_1677	1.000000	-0.040349	-0.010946	-0.099524	-0.090437	-0.251265	-0.106611	0.214939	0.182058	0.036607	0.088291	-0.141044	-0.079966	-0.058151	-0.103808	-0.048924	-0.145720	-0.072691	0.025497	0.035866	0.094712	0.120961	0.064536	0.152260	0.040378	0.022732	-0.049409	-0.003973	0.042356
TM_3845	TM_3845	1.000000	-0.061575	-0.015825	-0.092918	0.009467	-0.133752	-0.080992	0.314282	0.269114	0.089330	0.083093	-0.026964	-0.138433	-0.044891	-0.087482	0.009288	-0.132660	0.135890	0.032732	0.198795	0.181743	0.161694	0.109972	0.088021	-0.027183	-0.005704	-0.182716	-0.061252	0.082335
TM_1700	TM_1700	1.000000	-0.015971	-0.089416	-0.069378	-0.084810	-0.120127	-0.114246	0.147709	0.092812	0.050212	-0.004527	-0.104809	-0.071491	-0.250375	-0.332190	0.057341	-0.188112	0.286339	0.031328	0.038525	-0.000461	0.238108	0.273978	0.046575	0.014792	0.035990	0.022494	-0.108352	-0.006069
TM_4012	TM_4012	1.000000	-0.066356	0.018000	-0.078752	0.043419	-0.250530	-0.056136	0.313452	0.308068	-0.028551	-0.005499	-0.041149	-0.060323	-0.196010	-0.365118	-0.067095	-0.308296	0.137549	0.126628	0.039297	0.085068	0.068516	0.134757	-0.020536	-0.006313	0.202315	0.047131	0.039848	-0.065160
TM_2485	TM_2485	1.000000	-0.132529	0.076467	0.002408	0.006390	-0.259561	-0.095521	0.243374	0.120117	-0.021523	0.001730	0.002753	-0.090115	-0.071523	-0.100001	-0.162187	-0.354828	0.131474	0.216206	0.531371	0.592721	0.025566	-0.190638	0.134431	-0.044265	-0.049160	-0.202635	0.047389	0.066345
TM_2220	TM_2220	1.000000	-0.276859	-0.107230	-0.176277	-0.046150	-0.097725	-0.055341	0.246420	0.235077	0.106773	0.024662	0.142293	0.045377	-0.098979	-0.122118	-0.085878	-0.116945	0.220775	0.154141	0.313982	0.341187	0.097216	-0.047932	-0.012037	0.085434	0.080467	-0.147055	0.000213	-0.063379
TM_4264	TM_4264	1.000000	-0.182283	-0.105421	-0.123871	0.044430	-0.107124	-0.032617	0.181813	0.221204	0.114946	-0.009128	0.034072	-0.145862	-0.093311	-0.026954	-0.111192	-0.142357	0.251922	0.169759	0.030503	0.142004	-0.073853	-0.013635	-0.007396	0.028689	0.088328	-0.044837	0.047681	0.037167
TM_3835	TM_3835	1.000000	0.037840	-0.176470	0.094683	-0.050529	0.050094	0.099323	-0.172585	-0.226571	-0.001278	0.016582	-0.145653	-0.306486	-0.511605	-0.377447	-0.106026	-0.068739	0.159752	0.198195	0.194391	0.310284	0.125581	0.075470	0.153689	0.003161	-0.003604	-0.110711	-0.209534	-0.253888
TM_1802	TM_1802	1.000000	0.100995	0.145556	0.060010	0.122367	-0.030279	0.079290	0.013983	0.071575	-0.101923	-0.101823	-0.200320	-0.239595	-0.156650	-0.336608	0.026050	0.045513	0.093193	0.040135	-0.061626	-0.033683	0.049836	0.320360	-0.003601	-0.390121	-0.092689	-0.145332	-0.138028	0.089697
TM_1888	TM_1888	1.000000	0.056773	0.047423	0.026297	0.110597	-0.062979	0.059331	-0.059947	-0.024415	-0.157330	-0.166236	0.207291	0.052938	-0.146865	-0.244852	-0.008860	-0.237475	0.012815	0.060139	0.049751	0.104938	0.377478	0.461547	-0.080182	-0.051966	-0.262309	-0.230842	0.003424	-0.092680
TM_2254	TM_2254	1.000000	0.354391	0.326943	0.261120	0.179730	-0.059834	-0.000860	0.340837	0.373838	0.008681	-0.016233	0.134188	0.110717	-0.034713	-0.003262	-0.080517	-0.103162	0.139226	0.157509	-0.191700	-0.096850	0.515559	0.350490	-0.089746	-0.165352	-0.230368	-0.142673	-0.006301	-0.172960
TM_2264	TM_2264	1.000000	0.253498	0.381599	0.298100	0.260363	-0.070309	0.016065	0.135511	0.184059	-0.074957	-0.022023	0.119818	-0.216473	-0.173769	-0.053347	-0.044450	-0.097812	0.191318	0.148415	-0.011086	0.032870	0.381675	0.433660	-0.067240	-0.099489	-0.125335	-0.018442	0.026160	-0.099460
