YORF	NAME	GWEIGHT	0 hr	9.5 hr	11.5 hr	13.5 hr	15.5 hr	18.5 hr	20.5 hr
YKL062W		1	0.15	0.54	0.48	0.54	0.38	0.86	0.48
YDL248W		1	0.2	0.54	0.45	0.45	0.38	0.86	0.43
YJR161C		1	0.48	0.34	0.64	0.64	0.67	1.09	0.69
YIR043C		1	0.2	0	0.76	0.76	0.58	0.92	0.36
YIL121W		1	0.04	0.04	0.64	0.56	0.3	0.74	0.34
YIL124W		1	0.03	0.25	0.71	0.92	0.69	1.4	0.56
YPR028W		1	-0.06	0.08	0.48	0.62	0.62	0.97	0.26
YNL336W		1	0.12	0.26	0.54	0.3	0.69	0.94	0.5
YBR302C		1	0.12	0.14	0.5	0.14	0.64	0.74	0.52
YKL100C		1	-0.01	0.11	0.67	0.24	0.56	0.92	0.56
YBR035C		1	0.11	0	0.6	0.16	0.48	0.89	0.67
YAR042W		1	-0.03	-0.1	0.15	0.32	0.15	0.32	0.24
YOL129W		1	0	-0.1	0.34	0.52	0.67	0.58	0.71
YOL122C		1	0.07	-0.23	0.4	0.62	0.6	0.4	0.67
YJL214W		1	0.01	0.14	0.3	0.5	0	0.34	0.19
YNL056W		1	-0.03	0.04	0.25	0.19	-0.01	0.01	-0.09
YEL017W		1	0.01	0.19	0.76	0.38	0.07	0.16	-0.14
YER130C		1	-0.3	0.21	1.25	0.67	0.24	0.3	-0.07
YPR157W		1	-0.38	0.07	1.12	0.24	0.26	0.5	-0.09
YOR045W		1	-0.18	-0.03	0.71	0.2	0.36	0.5	0.01
YPL092W		1	-0.18	-0.07	1.03	0.5	0.36	0.41	0.14
YGL084C		1	-0.07	-0.07	0.52	0.38	0.3	0.25	0.11
YMR119W		1	-0.04	0.24	0.56	0.45	0.74	0.14	0.34
YLR231C		1	0.16	0.5	0.67	0.36	0.94	0.6	0.14
YDR019C		1	-0.01	0.43	0.89	1.29	1.94	0.54	0.21
YKL097C		1	0	0.15	0.62	0.56	1	0.45	-0.18
YDR109C		1	-0.03	-0.06	0.3	0.25	0.34	0.19	0.04
YJL091C		1	-0.1	0.08	0.4	0.29	0.36	0.26	0.01
YKR093W		1	-0.14	0.36	0.69	0.58	0.41	0.54	0.01
YKL219W		1	0.04	0.38	0.86	0.38	0.54	0.3	0.11
YDR133C		1	0.11	0.19	0.71	0.6	0.4	0.38	-0.12
YKL098W		1	0.19	0.36	0.86	0.64	0.74	0.38	0.04
YKL108W		1	0.16	0.5	1.03	0.81	1.03	0.78	-0.07
YKL096W		1	0.15	0.71	1.36	1.56	1.32	0.43	0.01
YBR221C		1	0.16	0.08	0.6	0.58	0.62	0.08	-0.03
YCR013C		1	0.12	0.19	0.2	0.12	0.2	0.12	-0.1
YKR088C		1	0.07	0.21	0.36	0.3	0.36	0.21	-0.23
YJL097W		1	0.11	0.16	0.48	0.25	0.4	0.38	-0.23
YNL307C		1	0.07	0.19	0.54	0.41	0.52	0.58	-0.25
YDL137W		1	0.34	0.26	0.41	0.29	0.64	0.48	-0.32
YOR124C		1	-0.1	0.04	0.11	0.38	0.58	0.64	-0.17
YGR295C		1	0.04	0.08	0.38	0.52	0.64	0.67	-0.23
YDL019C		1	-0.07	-0.06	0.24	0.3	0.3	0.36	-0.12
YJL171C		1	-0.27	0.26	0.58	0.84	0.81	1.25	-0.01
YAL044C		1	0.08	0.07	0.4	0.71	1.29	0.48	-0.54
YMR315W		1	0.08	0.03	0.16	0.34	0.4	0.07	-0.23
YPR185W		1	0.03	-0.27	0.45	0.5	0.04	0.78	-0.07
YLR028C		1	0.06		0.48	0.41	0.12	0.84	-0.04
YNL224C		1	0.04	-0.23	0.26	-0.01	-0.03	0.43	-0.01
YOR385W		1	0.11	-0.1	0.41	0.04	0.04	0.38	0.01
YER063W		1	0.12	-0.14	0.36	-0.09	0.08	0.56	-0.14
YPL045W		1	0.07	0.01	0.41	-0.06	-0.06	0.5	-0.1
YDR286C		1	-0.01	-0.04	0.45	-0.1	-0.04	0.6	-0.04
YOR264W		1	0.11	-0.1	0.5	0.03	-0.12	0.62	-0.27
YPR049C		1	0.14	-0.07	0.2	0.01	-0.07	0.36	-0.12
YGL115W		1	0.26	-0.07	0.41	0.15	-0.23	0.48	-0.17
YPR067W		1	0.25	-0.1	0.32	-0.09	-0.2	0.58	0.01
YPR147C		1	0.11	0.07	0.2	0.14	0.01	0.11	-0.03
YLR459W		1	0.26	-0.1	0.58	0.43	-0.06	0.45	-0.06
YGR135W		1	0.07	-0.06	0.45	0.2	-0.01	0.58	-0.17
YDR284C		1	-0.1	-0.14	0.74	0.2	-0.03	0.62	-0.27
YEL016C		1	-0.06	0	0.45	0.14	0.06	0.38	-0.12
YPL014W		1	-0.01	0	1.48	0.62	-0.07	0.78	-0.2
YLR414C		1	0.04	-0.1	0.58	0.24	-0.09	0.29	-0.04
YOR201C		1	-0.03	0.06	0.54	0.26	-0.36	0.32	-0.06
YPL041C		1	-0.06	0.01	0.76	0.25	-0.34	0.48	-0.04
YGL114W		1	-0.06	-0.06	0.64	0.07	-0.25	0.38	-0.15
YPL184C		1	0.12	0.03	0.43	0.01	-0.18	0.26	-0.01
YDR084C		1	-0.22	-0.06	0.38	0.24	-0.14	0.29	-0.18
YMR220W		1	-0.1	0.24	0.41	0.03	0.08	0.3	-0.01
YOR176W		1	0.01	0.04	0.89	0.01	0.01	0.64	0.03
YGL186C		1	0.06	0.14	0.69	0	-0.04	0.48	0.14
YPR106W		1	0.16	0.32	0.78	-0.03	-0.1	0.62	0.21
YJL051W		1	0.06	0.19	0.41	-0.03	0.06	0.32	0.01
YPR176C		1	0.08	0.38	0.86	-0.01	0.32	0.34	0.06
YGR252W		1	0.01	0.19	0.45	0.06	0.16	0.14	0.04
YPR146C		1	0.03	0.12	0.54	0.11	0.16	0.2	0.15
YPL176C		1	0.03	0.06	0.38	0.01	0.06	0.21	0.11
YOL107W		1	-0.01	0.11	0.64	0.14	0.2	0.5	0.19
YGR216C		1	0.08	0.32	0.97	0.12	0.25	0.56	0.2
YPL053C		1	0.04	0.32		0.11	0.32	0.74	0.19
YBL056W		1	0.01	0.41	0.56	0.12	0.12	0.56	0.14
YJL004C		1	-0.03	0.43	0.69	0.21	0.19	0.4	0.24
YHR030C		1	0.07	0.34	0.86	0.21	0	0.25	0.11
YOR002W		1	0.16	0.2	1.03	0.41	0.16	0.52	0.03
YEL047C		1	0.21	0.64	0.97	0.52	0.32	0.67	0.01
YDL126C		1	0.25	0.43	0.52	0.45	0.26	0.54	0
YFL031W		1	0.16	0.5	0.64	0.45	0.45	0.71	-0.1
YFL062W		1	0.16	0.34	0.76	0.67	0.64	0.86	0.06
YFL039C		1	0.34	0.2	0.5	0.36	0.41	0.48	-0.04
YIR022W		1	0.19	0.2	0.36	0.11	0.3	0.56	-0.2
YKR100C		1	0.19	0.3	0.36	0.06	0.19	0.58	-0.04
YBR010W		1	0.48	0.36	0.48	0.08	0.34	1.03	-0.09
YOR155C		1	0.06	0.48	0.4	0.19	0.29	0.64	0.08
YGR282C		1	0.19	0.52	0.6	0.64	0.52	1.22	0.16
YOL030W		1	0.4	0.38	0.74	0.54	0.71	1.48	0.03
YHR110W		1	0.12	0.16	0.29	0.16	0.43	0.6	0.04
YGL069C		1	0.04	0.29	0.36	0.15	0.36	0.78	0.06
YLR351C		1	0.06	0.16	0.48	0.16	0.25	0.45	0.03
YGR026W		1	0.15	0.34	0.69	0.24	0.25	0.67	-0.1
YPR108W		1	0.24	0.29	0.58	0.14	0.21	0.67	-0.01
YFR042W		1	0.19	0.26	0.64	0.41	0.21	0.89	0.08
YGR209C		1	0.16	0.04	0.84	0.36	0.48	1.18	0.25
YDL128W		1	-0.09	0.24	0.48	0.21	0.24	0.76	0.15
YKL051W		1	0	0.2	0.64	0.25	0.45	1	0.07
YKL119C		1	0.08	0.16	0.45	0.14	0.19	0.62	0.08
YGL032C		1	0	0.25	0.81	0.14	0.26	0.89	0.03
YGL142C		1	0.06	0.06	0.48	0.16	0.07	0.64	0
YKR090W		1	0.14	0.14	0.24	-0.04	0.07	0.26	-0.14
YOR323C		1	0.16	0.43	0.62	0.07	0.19	0.6	-0.3
YDR373W		1	0.15	0.34	0.34	-0.01	0.15	0.38	-0.12
YNL267W		1	0	0.26	0.36	0.01	0.19	0.32	-0.3
YDR139C		1	0.04	0.3	0.54	0.16	0.04	0.5	-0.27
YGR172C		1	0.11	0.3	0.56	0.3	0.06	0.4	-0.4
YMR218C		1	-0.1	0.15	0.26	0.11	0.11	0.36	-0.23
YDR065W		1	-0.06	0.14	0.24	0.14	0.07	0.38	-0.15
YLR418C		1	-0.1	0.25	0.4	0.06	-0.17	0.64	-0.27
YGL011C		1	0.14	0.38	0.34	0.08	-0.22	0.92	-0.34
YML105C		1	0.16	0.26	0.48	-0.1	-0.23	0.64	-0.18
YOL038W		1	0.15	0.15	0.4	-0.1	-0.07	0.58	-0.27
YMR005W		1	0.06	0.19	0.4	-0.1	-0.03	0.45	-0.23
YOR117W		1	0.07	0.32	0.38	-0.15	-0.04	0.81	-0.18
YHL034C		1	0.29	0.19	0.64	-0.22	0	0.92	-0.06
YGR024C		1	0.2	0.25	0.3	0.01	-0.01	0.45	0.01
YMR099C		1	0.41	0.36	0.41	0.04	-0.12	0.64	-0.07
YML053C		1	0.24	0.2	0.29	0	-0.12	0.52	-0.09
YGR180C		1	0.54	0.26	0.58	-0.04	0.08	0.76	-0.22
YBR020W		1	0.15	0.11	0.29	0.11	-0.03	0.48	-0.23
YDR071C		1	0.26	0.21	0.56	0.29	-0.1	0.78	-0.3
YMR236W		1	0.24	0.08	0.36	0.08	-0.1	0.56	-0.09
YBR234C		1	0.16	0.25	0.54	0.24	-0.06	0.58	-0.06
YHR188C		1	0.15	0.19	0.54	0.04	-0.04	0.38	-0.07
YJR087W		1	0.2	0.15	0.56	0.16	0.04	0.43	-0.2
YCL027W		1	0.36	0.45	0.52	0.26	-0.2	0.56	-0.07
YGL048C		1	0.29	0.2	0.24	0.04	0.11	0.89	0.21
YLR390W-A		1	0.26	0.03	0.32	-0.12	0.26	1.06	0.11
YLR421C		1	0.15	0.12	0.2	-0.22	0.26	0.86	0.15
YKL040C		1	0.16	-0.07	0.11	-0.17	0.25	0.6	0.12
YKR085C		1	-0.1	0.01	0.11	-0.03	0.25	0.56	-0.32
YGL243W		1	-0.09	0.03	0.15	-0.09	0.11	0.45	-0.18
YDR016C		1	-0.17	0	0.15	-0.03	0.06	0.5	-0.27
YDR468C		1	-0.12	-0.03	0.26	-0.14	-0.17	0.76	-0.15
YHR044C		1	-0.12	0.07	0.19	-0.03	0	0.6	-0.1
YML015C		1	-0.06	-0.01	0.29	-0.09	-0.03	0.69	-0.22
YIL005W		1	-0.04	0	0.21	-0.09	0.04	0.54	-0.2
YPL269W		1	-0.1	0.04	0.24	-0.23	0.06	0.58	-0.17
YLR330W		1	0.04	-0.06	0.11	-0.14	0.06	0.41	-0.17
YPR188C		1	0.03	-0.1	0.14	-0.12	0.03	0.48	-0.09
YMR203W		1	0.12	-0.17	0.19	0.14	0	0.58	-0.01
YDL135C		1	0.16	-0.09	0.29	0.06	0.16	0.67	-0.14
YLR163C		1	0.04	-0.01	0.11	-0.01	0.08	0.3	-0.03
YDR452W		1	0.12	-0.1	0.32	0.14	0.32	0.92	-0.06
YGR207C		1	0.04	-0.12	0.38	0.14	0.15	0.89	-0.04
YKL160W		1	0.12	0.01	0.48	0.12	0.07	0.92	0.08
YNL155W		1	0.2	0.04	0.36	0.21	0.03	1.15	0.06
YDR063W		1	0.24	0.08	0.41	0.21	0.26	1.06	0.03
YIL062C		1	0.24	0	0.4	0.36	0.29	1	0.14
YKR074W		1	0.16	-0.03	0.11	0.19	0.2	0.92	-0.06
YOL026C		1	0.07	0.01	0.08	0.07	0	0.62	0.07
YFR024C-A		1	0.01	-0.03	0.2	0.03	-0.01	0.69	-0.03
YKL117W		1	0.14	-0.06	0.4	0.08	-0.12	1.79	0.04
YNL181W		1	0.08	-0.06	0.15	0.01	-0.1	0.86	0.04
YER030W		1	-0.03	0.01	0.11	-0.01	-0.1	0.74	-0.04
YLR262C		1	0.03	0.03	0.5	0.15	-0.22	1.09	0
YMR074C		1	-0.06	0.07	0.26	0.24	0.04	0.92	-0.09
YLR069C		1	0.01	0.07	0.07	0.07	-0.06	0.41	-0.1
YKL138C		1	-0.01	0.15		0.15	-0.04	0.97	-0.15
YML070W		1	0.07	0.15	0.2	0.19	-0.06	0.97	-0.1
YKL140W		1	0.07	0.19	0.12	0.14	-0.07	0.58	-0.06
YDL029W		1	0.08	0.03	0.07	0.01	-0.1	0.56	-0.14
YKL013C		1	0.01	-0.07	0.06	0.19	0.12	0.81	-0.4
YLR118C		1	0.12	-0.06	0.14	0.12	0.06	0.67	-0.23
YMR226C		1	0.06	-0.03	0.11	0.01	0.15	0.94	-0.23
YNL031C		1	0.12	-0.06	0.03	-0.01	0.06	0.84	-0.25
YNL098C		1	0.25	0.16	0.2	0.07	0.43	1.15	-0.4
YDR328C		1	-0.04	0.04	0.16	0.16	0.19	0.94	-0.23
YFL038C		1	-0.03	0.19	0.12	0.25	0.24	1	-0.18
YJL104W		1	-0.1	0.24	0.19	0.07	0.24	0.76	-0.23
YPR183W		1	-0.15	0.21	0.64	-0.01	0.52	1.18	-0.23
YHR043C		1	-0.15	0.08	0.41	-0.04	0.25	0.89	-0.09
YOL108C		1	-0.04	0.29	0.52	0.01	0.08	0.97	0.01
YPL206C		1	0.03	0.16	0.32	0.12	0.12	0.64	-0.06
YOR087W		1	-0.14	0.15	0.3	0.11	0.16	0.6	-0.01
YGR165W		1	-0.15	0.25	0.29	0.12	0.07	0.78	-0.07
YBR282W		1	-0.12	0.25	0.26	0.2	0.06	0.94	0.06
YPR099C		1	-0.1	0.34	0.38	0.4	0.21	1.15	0.07
YDL178W		1	-0.15	0.24	0.24	0.3	-0.03	0.71	-0.07
YOR060C		1	-0.42	0.38	0.56	0.34	0.11	0.92	-0.1
YDR476C		1	-0.56	-0.07	0.52	0.07	-0.18	0.45	0.2
YHR177W		1	-0.4	0.03	0.56	-0.01	-0.3	0.45	0.32
YIL120W		1	-0.43	0.29	0.84	0.06	-0.3	0.71	0.34
YPL076W		1	-0.23	0.15	0.5	-0.18	0.01	0.45	0.12
YDR541C		1	-0.22	0.04	0.62	-0.2	0.04	0.4	0.14
YBL082C		1	-0.23	0.08	0.71	-0.3	-0.09	0.36	0.2
YOR229W		1	-0.34	0.08	0.56	-0.2	-0.1	0.34	0.2
YHR032W		1	-0.54	0.12	0.89	-0.12	0.04	0.41	0.38
YLR343W		1	-0.42	-0.12	0.58	-0.01	-0.17	0.38	0.36
YMR111C		1	-0.4	-0.15	0.71	-0.15	-0.18	0.52	0.45
YOR351C		1	-0.6	-0.03	0.86	-0.18	-0.12	0.71	0.56
YPL055C		1	-0.38	0	0.81	-0.14	-0.1	0.67	0.4
YBR065C		1	-0.29	-0.17	0.5	-0.17	0.01	0.52	0.38
YGL005C		1	-0.06	-0.12	0.38	-0.34	0.06	0.74	0.45
YHR090C		1	-0.07	-0.07	0.26	-0.2	0.11	0.78	0.34
YHL002W		1	-0.01	0.14	0.36	-0.25	0.08	0.81	0.43
YPR127W		1	0	0.11	0.25	-0.2	0.06	0.41	0.19
YGL091C		1	-0.07	0.06	0.34	-0.04	-0.15	0.58	0.19
YKR103W		1	-0.1	0.03	0.52	-0.04	-0.15	0.69	0.16
YEL052W		1	-0.04	-0.07	0.54	-0.18	-0.14	0.67	0.3
YMR222C		1	-0.1	-0.07	0.3	-0.1	0	0.4	0.14
YLR034C		1	-0.1	-0.09	0.3	-0.14	-0.09	0.34	0.07
YDL161W		1	-0.03	0.06	0.5	-0.22	0.04	0.48	0.24
YHR114W		1	-0.1	0.11	0.45	-0.23	-0.04	0.56	0.26
YOR205C		1	-0.15	0.24	0.62	-0.23	-0.09	0.52	0.3
YMR264W		1	-0.1	0.21	0.54	-0.06	0.07	0.6	0.26
YPR162C		1	-0.06	0.24	0.54	-0.01	0	0.5	0.25
YJL081C		1	-0.06	0.26	0.54	-0.06	0.06	0.41	0.2
YPL129W		1	-0.12	0.26	0.54	-0.12	0.15	0.5	0.08
YKR066C		1	-0.07	0.32	0.76	0.08	0.45	1.25	0.52
YGR220C		1	-0.06	0.21	0.58	0.08	0.25	0.92	0.48
YOR069W		1	-0.04	0.08	0.69	-0.1	0.24	0.71	0.48
YHR112C		1	-0.1	0.14	0.58	-0.18	0.12	0.67	0.43
YGR246C		1	-0.06	0.11	0.41	-0.07	0.16	0.54	0.32
YPL103C		1	-0.09	0.11	0.5	-0.07	0.11	0.71	0.32
YGR168C		1	-0.1	0.11	0.41	-0.03	0	0.58	0.26
YPR079W		1	-0.18	0.19	0.54	-0.07	0.03	0.71	0.43
YLR120C		1	-0.23	0.34	1	0.2	-0.2	1.18	0.32
YML002W		1	-0.1	0.15	0.41	0.07	0.03	0.6	0.15
YHR012W		1	-0.18	0.2	0.5	0.08	0.04	0.74	0.29
YJL020C		1	-0.34	0.34	0.58	0.24	0	1.06	0.41
YOR040W		1	-0.34	0.12	0.4	0.01	0.07	0.84	0.4
YIR036C		1	-0.42	0.16	0.56	-0.09	0.11	1.03	0.4
YGR077C		1	-0.2	0.01	0.5	-0.01	0.11	0.74	0.26
YOR137C		1	-0.18	0.04	0.4	-0.06	0.01	0.56	0.16
YBR005W		1	-0.3	0.03	0.62	0.03	-0.04	0.84	0.34
YER061C		1	-0.56	-0.03	0.69	0.06	0.12	0.89	0.5
YPL107W		1	-0.27	-0.09	0.56	-0.17	0.36	0.64	0.26
YPR045C		1	-0.1	-0.07	0.32	0	0.19	0.38	-0.01
YOR179C		1	-0.09	-0.18	0.54	0.19	0.38	0.78	0.16
YLR155C		1	-0.09	-0.14	0.5	0.06	0.2	0.48	0.25
YKR022C		1	-0.1	-0.04	0.5	0.04	0.08	0.56	0.14
YOL154W		1	-0.03	-0.06	0.3	0.01	0.12	0.6	0.16
YDR375C		1	-0.07	-0.06	0.2	-0.04	-0.01	0.48	0.01
YOL013C		1	-0.12	-0.1	0.2	-0.09	-0.04	0.71	0.11
YIL152W		1	-0.2	-0.07	0.14	-0.12	-0.06	0.67	0.14
YMR113W		1	-0.2	0.07	0.2	-0.09	0	0.54	0.12
YOR350C		1	-0.4	0.01	0.26	-0.01	0.06	0.56	0.14
YGR193C		1	-0.34	-0.04	0.32	-0.04	-0.12	0.52	0.15
YGR122W		1	-0.36	0.07	0.41	-0.17	-0.09	0.62	0.21
YMR198W		1	-0.42	-0.03	0.5	-0.14	-0.01	0.78	-0.04
YHR153C		1	-0.25	-0.09	0.4	-0.01	0.03	0.54	0.04
YFR010W		1	-0.29	-0.06	0.41	0.07	-0.09	0.67	0.04
YOR192C		1	0.04	-0.14	0.69	-0.01	-0.3	0.41	0.19
YER083C		1	0.03	-0.06	0.67	0	-0.14	0.6	0.21
YCR020C		1	0.08	-0.07	0.52	0.11	-0.1	0.52	0.26
YEL004W		1	-0.09	-0.15	0.74	0.19	-0.23	0.52	0.34
YLR341W		1	-0.3	-0.06	0.76	0.19	-0.25	0.45	0.15
YDR315C		1	-0.04	0.15	0.62	0.19	-0.29	0.45	0.4
YOR267C		1	0.19	0	0.71	0.19	-0.01	0.56	0.58
YDL009C		1	0.08	0	0.41	0.12	0.01	0.29	0.41
YHR214W		1	0.08	0.04	0.67	0.32	-0.04	0.56	0.67
YDR387C		1	0.07	0.07	0.89	0.5	0	0.56	0.74
YCR023C		1	0.15	0.12	0.86	0.62	0.11	1.06	0.94
YGL229C		1	0.04	0.12	0.32	0.36	-0.1	0.45	0.45
YAR068W		1	-0.22	0.26	0.58	0.41	-0.01	0.5	0.6
YDR061W		1	-0.15	0.12	0.74	0.14	-0.07	0.69	0.38
YMR087W		1	-0.07	0.03	0.48	0.11	-0.03	0.34	0.15
YBR036C		1	-0.27	0.03	0.81	0.29	0.06	0.67	0.29
YHR113W		1	-0.12	0.14	0.6	0.3	0.14	0.62	0.29
YER026C		1	-0.03	0.29	0.97	0.56	0.01	1.03	0.6
YDR107C		1	-0.12	0.24	0.81	0.43	-0.06	0.45	0.3
YHL028W		1	-0.23	0.07	1.18	0.84	0.21	0.74	0.41
YDR363W		1	-0.03	0.08	0.48	0.19	-0.2	0.52	0.21
YBR068C		1	0	0.01	0.64	0.34	-0.3	0.94	0.21
YPL118W		1	-0.03	-0.14	0.45	0.3	-0.22	1	0.2
YLR166C		1	0.03		0.2	0.14	-0.12	0.6	0.12
YOR090C		1	-0.12	0.38	0.29	0.03	-0.09	0.4	0.16
YHR146W		1	-0.06	0.56	0.58	0.01	-0.15	0.74	0.3
YKL145W		1	0.12	0.5	0.41	0	-0.01	0.81	0.14
YER048C		1	0.19	0.52	0.5	0.07	-0.17	1.09	0.32
YGL161C		1	0.16	0.29	0.5	0.14	-0.07	0.78	0.07
YBL001C		1	-0.04	0.5	0.48	0.32	-0.1	0.81	0.21
YAR031W		1	-0.14	0.41	0.36	0.26	-0.17	0.97	0.2
YAL008W		1	0.03	0.56	0.32	0.3	-0.15	1.09	0.43
YAR033W		1	0.03	0.36	0.4	0.19	-0.29	0.54	0.54
YNL252C		1	-0.1	0.38	0.4	0.19	-0.45	0.97	0.36
YMR152W		1	0.06	0.43	0.45	-0.03	-0.25	0.97	0.48
YDR073W		1	0.03	0.19	0.32	0.07	-0.38	0.62	0.3
YGR170W		1	0	0.06	0.16	0.01	-0.14	0.29	0.14
YGL219C		1	0.04	0.11	0.25	0.03	-0.18	0.4	0.26
YBR003W		1	-0.03	0.15	0.45	0.08	-0.34	0.62	0.41
YER094C		1	0.14	0.11	0.43	-0.01	-0.15	0.54	0.34
YPR061C		1	0.08	0.19	0.3	0.04	-0.17	0.36	0.16
YJR131W		1	0.16	0.26	0.43	0.07	-0.18	0.67	0.36
YDL147W		1	0.26	0.3	0.5	0.24	-0.34	0.89	0.48
YER050C		1	0.25	0.16	0.6	0.25	-0.3	0.92	0.32
YDR251W		1	0.25	0.29	0.36	0.45	-0.17	0.71	0.38
YML121W		1	0.21	0.3	0.54	0.04	-0.07	0.64	0.34
YPL091W		1	0.32	0.25	0.52	0.06	0.04	0.74	0.24
YML078W		1	0.2	0.16	0.4	0	0.11	0.43	0.19
YCR069W		1	0.11	0.11	0.32	-0.07	0.03	0.56	0.15
YGR143W		1	0.06	0.03	0.24	-0.04	0.12	0.32	0.11
YFR003C		1	-0.03	0.67	0.03	0.01	0.06	1.29	0.34
YDL079C		1	0.03	1.03	0.12	-0.1	-0.01	1.74	0.94
YDL107W		1	-0.14	0.58	0.16	-0.18	-0.06	0.81	0.29
YOL073C		1	-0.09	0.16	0.15	-0.18	-0.04	0.81	0.29
YJL099W		1	-0.04	0.14	0.14	-0.15	0.04	0.74	0.26
YLR107W		1	-0.03	0.36	0.24	-0.1	0.11	1.22	0.52
YGL185C		1	-0.03	0.34	0.19	-0.03	0.07	1.09	0.58
YOL151W		1	0.26	0.36	0.07	-0.17	-0.1	1.09	0.45
YNL322C		1	0.26	0.25	0.25	-0.1	-0.14	0.86	0.43
YGR253C		1	0.15	0.24	0.32	-0.18	-0.09	1.15	0.3
YAL031C		1	0.08	0.25	0.08	-0.18	-0.17	0.71	0.14
YOR075W		1	-0.01	0.29	0.26	-0.32	-0.2	0.81	0.34
YBR105C		1	0	0.56	0.29	-0.51	-0.15	0.84	0.34
YBR200W		1	0.16	0.25	0.06	-0.12	-0.01	0.32	0.04
YPR086W		1	-0.04	0.36	0.54	-0.32	-0.12	0.71	0.06
YML115C		1	0.08	0.32	0.3	-0.14	0.03	0.41	0
YHL046C		1	0.07	0.16	0.11	-0.04	-0.03	0.16	0.03
YHR132C		1	0.2	0.29	0.26	-0.06	-0.12	0.32	0.07
YLL036C		1	0.15	0.2	0.2	-0.23	-0.12	0.3	0.11
YBL105C		1	0.19	0.3	0.29	-0.29	-0.03	0.29	-0.03
YLR227C		1	0.08	0.2	0.26	-0.2	-0.07	0.11	0.07
YDR167W		1	-0.1	0.41	0.36	-0.18	-0.04	0.24	0.06
YHR207C		1	-0.1	0.14	0.25	-0.17	0.01	0.29	-0.18
YLR321C		1	-0.12	0.14	0.45	-0.17	0.06	0.32	-0.23
YPL083C		1	-0.07	0.06	0.41	-0.1	0.03	0.41	-0.25
YNL188W		1	-0.09	0.11	0.54	-0.27	0.04	0.45	-0.07
YJR072C		1	0	0.25	0.48	-0.42	0.24	0.52	-0.06
YDR539W		1	0.04	0	0.38	-0.23	0.06	0.41	0.08
YIL063C		1	0.07	0.06	0.32	-0.27	-0.04	0.29	-0.01
YOR353C		1	0.03	0.04	0.52	-0.29	-0.1	0.29	0.07
YBL036C		1	-0.1	-0.09	0.48	-0.34	-0.09	0.3	0.04
YJR074W		1	-0.04	-0.04	0.2	-0.23	0.32	0.38	0.03
YPR082C		1	-0.03	0.07	0.38	-0.09	0.54	0.43	0.16
YLR375W		1	-0.34	0.19	0.48	-0.23	0.36	0.48	0.19
YJR068W		1	-0.43	0.36	0.43	-0.1	0.5	0.62	-0.14
YJL060W		1	-0.23	0.16	0.43	0.06	0.32	0.4	-0.18
YOL088C		1	-0.14	0.07	0.3	-0.01	0.19	0.34	-0.18
YOR246C		1	-0.14	-0.03	0.48	-0.04	0.54	0.5	-0.34
YOR189W		1	-0.04	-0.18	0.2	-0.03	0.32	0.45	-0.14
YMR086W		1	-0.04	-0.14	0.19	0.11	0.36	0.34	-0.04
YGR125W		1	-0.18	-0.22	0.19	0.24	0.38	0.24	-0.1
YBL006C		1	-0.1	-0.18	0.34	0	0.24	0.11	-0.1
YNL177C		1	-0.49	0.03	0.52	0.38	0.21	0.62	0
YCL038C		1	-0.38	0.16	0.12	0.11	0.11	0.54	-0.03
YHR018C		1	0.24	0.36	0.14	0.07	0.19	0.54	0.16
YJL034W		1	0.38	0.38	0.07	-0.04	0.07	0.54	0.5
YJR148W		1	0.04	0.08	-0.23	-0.36	0.07	0.54	0.3
YKL038W		1	0.06	0.04	-0.23	-0.42	0.29	0.56	0.6
YJR038C		1	-0.04	-0.04	-0.18	-0.27	0.38	0.64	0.45
YIL010W		1	-0.1	0.14	0.2	-0.18	0.32	0.81	0.24
YAL061W		1	-0.49	0.2	-0.23	-0.3	0.76	1.89	0.6
YOL018C		1	-0.09	-0.01	0.03	-0.1	0.16	0.36	0
YPL099C		1	-0.03	-0.1	-0.03	-0.22	0.15	0.76	0.14
YMR029C		1	-0.1	-0.04	-0.06	-0.47	0.26	0.94	0.36
YDR327W		1	-0.06	-0.03	0.04	-0.3	0.26	0.64	0.11
YJR144W		1	-0.18	0.01	-0.03	-0.2	0.12	0.5	0.08
YPR166C		1	-0.12	-0.06	-0.03	-0.07	0.04	0.36	0.06
YHR116W		1	-0.1	-0.23	0.07	-0.07	0.15	0.41	0.03
YPR180W		1	-0.27	-0.27	0.14	-0.25	0.24	0.76	-0.1
YJL152W		1	-0.58	-0.4	0.08	-0.32	0.3	1.06	-0.06
YJL057C		1	-0.42	-0.32	-0.01	-0.3	0.03	0.6	0.07
YHR059W		1	-0.22	-0.3	-0.04	-0.3	-0.03	0.52	0.01
YDR229W		1	-0.23	-0.25	-0.03	-0.36	-0.03	0.81	-0.06
YDL139C		1	-0.2	-0.2	0.11	-0.27	0.01	0.67	-0.03
YLR392C		1	-0.54	-0.32	-0.29	-0.56	0.32	0.69	-0.07
YNL046W		1	-0.36	-0.03	0.08	-0.25	0.04	0.25	0.03
YGL132W		1	-0.56	-0.36	0.2	-0.29	0.11	0.43	-0.09
YJL003W		1	-0.23	-0.25	0.04	-0.25	-0.07	0.29	0.07
YMR245W		1	-0.29	-0.34	0.08	-0.3	-0.1	0.3	
YNL285W		1	-0.34	-0.38	0.2	-0.34	-0.17	0.43	-0.07
