UP-DN	Condition	Tag	PPI.long	PPI.short	Gene.1	Gene.2	ORF.1	ORF.2	AUC	guide.RBD2.1	guide.RBD2.2	guide.RBD2.3	guide.RBD2.ATC.1	guide.RBD2.ATC.2	guide.RBD2.ATC.3	FC.avg	FC.rep1	FC.rep2	p.val	q.val
uptag	CRISPRi [RBD2]	TM_2020	SDS24_F1::SAP155_F3	SDS24:SAP155	SDS24	SAP155	YBR214W	YFR040W	37.609	11.66007019	11.78742648	11.7055316	11.71307142	11.69503975	11.61279172	-0.044041793	-0.004604671	-0.022636342	0.433296076	0.986390772
uptag	CRISPRi [RBD2]	TM_1489	EHT1_F1::AYR1_F3	EHT1:AYR1	EHT1	AYR1	YBR177C	YIL124W	41.838	12.25024906	12.55594713	12.40317184	12.41363674	12.52210742	12.52689043	0.084422184	0.010514064	0.118984741	0.369075488	0.986390772
uptag	CRISPRi [RBD2]	TM_2409	ERG7_F1::YJU3_F3	ERG7:YJU3	ERG7	YJU3	YHR072W	YKL094W	37.648	11.87014635	12.02764111	12.06656014	11.96542357	12.07404109	12.15337258	0.076163211	-0.0226923	0.08592522	0.353581963	0.986390772
uptag	CRISPRi [RBD2]	TM_1354	YBL029C-A_F1::FTR1_F3	YBL029C-A:FTR1	YBL029C-A	FTR1	YBL029C-A	YER145C	31.173	12.60054791	12.4298208	12.55109139	12.50830649	12.58942488	12.50723304	0.007834773	-0.018846871	0.062271513	0.89790346	0.988132536
uptag	CRISPRi [RBD2]	TM_2260	FTH1_F1::VMA13_F3	FTH1:VMA13	FTH1	VMA13	YBR207W	YPR036W	58.723	11.63665483	11.54588152	11.56232194	11.36654079	11.61959336	11.48636578	-0.090786119	-0.215078639	0.037973934	0.264110232	0.986390772
uptag	CRISPRi [RBD2]	TM_2036	VPS60_F1::SNF7_F3	VPS60:SNF7	VPS60	SNF7	YDR486C	YLR025W	35.944	12.2188306	12.25431019	12.35046962	12.24062241	12.33212049	12.33880137	0.029311284	-0.033914393	0.057583684	0.605459123	0.986390772
uptag	CRISPRi [RBD2]	TM_2062	PEP1_F1::VPS68_F3	PEP1:VPS68	PEP1	VPS68	YBL017C	YOL129W	32.991	11.81733013	11.72474121	11.98146025	11.73042768	11.81660371	11.92658016	-0.016640016	-0.110749517	-0.024573491	0.852229224	0.988132536
uptag	CRISPRi [RBD2]	TM_1459	DNF1_F1::DNF1_F3	DNF1:DNF1	DNF1	DNF1	YER166W	YER166W	33.482	12.15213693	12.25988054	12.13765294	12.14599581	12.23658231	12.1666757	-0.000138868	-0.037227661	0.053358833	0.997943116	0.998569142
uptag	CRISPRi [RBD2]	TM_2254	ERV29_F1::ERV29_F3	ERV29:ERV29	ERV29	ERV29	YGR284C	YGR284C	46.313	11.9239093	11.81995286	11.74806703	11.84160366	11.75481793	11.70322589	-0.064093904	0.010960596	-0.075825136	0.354999277	0.986390772
uptag	CRISPRi [RBD2]	TM_2453	VPS35_F1::VPS35_F3	VPS35:VPS35	VPS35	VPS35	YJL154C	YJL154C	53.554	12.126812	11.95890308	11.96971028	12.04827116	12.04294751	12.01463658	0.016809961	0.029796037	0.024472391	0.777857589	0.986390772
uptag	CRISPRi [RBD2]	TM_1702	LSM2_F1::CDC39_F3	LSM2:CDC39	LSM2	CDC39	YBL026W	YCR093W	38.523	12.41821279	12.52488447	12.39494941	12.40157287	12.48173217	12.44250295	-0.004079559	-0.044442684	0.035716614	0.938823936	0.992212201
uptag	CRISPRi [RBD2]	TM_1463	FMP45_F1::ITR1_F3	FMP45:ITR1	FMP45	ITR1	YDL222C	YDR497C	45.665	12.25711279	12.3768037	12.30520676	12.48835902	12.38570964	12.45666243	0.130535946	0.175317933	0.072668557	0.044355403	0.986390772
uptag	CRISPRi [RBD2]	TM_2172	LSM4_F1::LSM4_F3	LSM4:LSM4	LSM4	LSM4	YER112W	YER112W	27.017	12.2025269	12.08902006	12.18746549	12.16508495	12.16873479	12.09513325	-0.016686485	0.005414134	0.009063974	0.744637464	0.986390772
uptag	CRISPRi [RBD2]	TM_1546	FMP45_F1::TPO1_F3	FMP45:TPO1	FMP45	TPO1	YDL222C	YLL028W	19.398	12.48173217	12.44678177	12.38533216	12.41971005	12.43219389	12.40544288	-0.018833096	-0.018238649	-0.005754817	0.663895201	0.986390772
uptag	CRISPRi [RBD2]	TM_1684	ERV25_F1::RBD2_F3	ERV25:RBD2	ERV25	RBD2	YML012W	YPL246C	42.574	11.05945713	11.74420315	11.83361487	11.12084265	11.66601683	11.82525033	-0.008388447	-0.42491573	0.120258447	0.976567459	0.996195085
